job_id,job field,Company_id
5011,software,501
5031,software,503
5041,software,504
5051,software,505
5053,software,505
5055,software,505
5062,data,506
5071,marketing,507
5082,marketing,508
5092,data,509
5102,management,510
5112,software,511
5131,software,513
5151,software,515
5153,data,515
5155,data,515
5157,software,515
5171,software,517
5191,software,519
5201,software,520
5212,data,521
5222,management,522
5231,finance,523
5251,software,525
5253,data,525
5255,software,525
5261,software,526
5272,software,527
5291,software,529
5302,management,530
5312,software,531
5321,management,532
5341,software,534
5352,management,535
5361,marketing,536
5372,software,537
5391,management,539
5411,marketing,541
5431,management,543
5441,software,544
5443,software,544
5461,management,546
5471,data,547
5473,management,547
5481,finance,548
5501,marketing,550
5521,marketing,552
5532,software,553
5534,software,553
5536,software,553
5551,software,555
5553,software,555
5561,management,556
5581,data,558
5601,software,560
5611,management,561
5613,management,561
5615,management,561
5617,management,561
5631,software,563
5651,marketing,565
5662,data,566
5664,software,566
5666,software,566
5672,software,567
5691,management,569
5702,management,570
5721,management,572
5741,software,574
5743,software,574
5752,finance,575
5771,management,577
5791,data,579
5811,software,581
5813,software,581
5822,management,582
5841,software,584
5851,software,585
5871,software,587
5891,management,589
5902,software,590
5904,software,590
5906,software,590
5908,software,590
59010,software,590
59012,software,590
59014,software,590
59016,software,590
59018,software,590
59020,software,590
59022,software,590
59024,software,590
5911,software,591
5921,software,592
5941,software,594
5951,data,595
5953,software,595
5971,marketing,597
5991,software,599
6011,software,601
6021,software,602
6023,software,602
6031,software,603
6051,software,605
6053,software,605
6071,software,607
6073,software,607
6082,software,608
6091,software,609
6111,software,611
6121,management,612
6141,finance,614
6161,marketing,616
6172,software,617
6191,software,619
6201,management,620
6211,marketing,621
6222,management,622
6224,software,622
6241,finance,624
6251,software,625
6271,software,627
6281,software,628
6301,marketing,630
6321,finance,632
6341,software,634
6352,management,635
6361,data,636
6363,data,636
6372,software,637
6374,software,637
6376,software,637
6378,software,637
63710,software,637
63712,software,637
63714,marketing,637
63716,software,637
6391,software,639
6411,marketing,641
6422,software,642
6441,finance,644
6452,management,645
6454,management,645
6456,management,645
6461,finance,646
6472,software,647
6474,software,647
6482,software,648
6484,management,648
6486,software,648
6488,marketing,648
6501,software,650
6512,software,651
6521,data,652
6532,software,653
6534,software,653
6551,software,655
6562,management,656
6581,software,658
6601,marketing,660
6621,software,662
6641,software,664
6643,software,664
6652,marketing,665
6671,software,667
6691,marketing,669
6702,software,670
6712,software,671
6722,software,672
6741,marketing,674
6752,software,675
6754,management,675
6756,software,675
6771,software,677
6773,software,677
6791,software,679
6811,management,681
6821,marketing,682
6823,marketing,682
6841,marketing,684
6861,management,686
6872,software,687
6891,software,689
6901,data,690
6903,software,690
6905,management,690
6912,management,691
6922,software,692
6932,data,693
6951,software,695
6971,software,697
6991,marketing,699
7001,software,700
7011,software,701
7022,data,702
7041,software,704
7061,management,706
7063,software,706
7081,data,708
7101,software,710
7112,marketing,711
7131,software,713
7142,data,714
7151,marketing,715
7161,software,716
7172,software,717
7174,software,717
7176,finance,717
7181,software,718
7201,finance,720
7212,software,721
7214,software,721
7216,software,721
7218,management,721
72110,management,721
72112,management,721
72114,software,721
72116,software,721
72118,software,721
72120,software,721
72122,software,721
72124,management,721
72126,software,721
72128,software,721
72130,data,721
72132,software,721
72134,data,721
72136,management,721
7222,software,722
7241,software,724
7251,software,725
7262,software,726
7272,management,727
7281,software,728
7292,management,729
7294,management,729
7296,software,729
7298,management,729
7301,software,730
7303,software,730
7311,management,731
7322,software,732
7332,software,733
7341,software,734
7351,software,735
7362,software,736
7371,management,737
7391,finance,739
7411,data,741
7413,software,741
7421,management,742
7441,management,744
7452,marketing,745
7461,software,746
7471,data,747
7481,software,748
7492,marketing,749
7494,software,749
7496,software,749
7498,software,749
7501,marketing,750
7511,software,751
7513,software,751
7515,software,751
7517,data,751
7531,software,753
7542,software,754
7551,software,755
7561,software,756
7581,software,758
7583,data,758
7585,finance,758
7591,software,759
7611,finance,761
7613,software,761
7622,software,762
7624,software,762
7641,software,764
7652,software,765
7661,software,766
7681,software,768
7701,finance,770
7712,software,771
7714,software,771
7716,software,771
7718,management,771
7731,software,773
7751,management,775
7753,software,775
7755,software,775
7757,software,775
7761,marketing,776
7781,software,778
7783,software,778
7791,marketing,779
7811,software,781
7822,data,782
7832,marketing,783
7841,software,784
7861,software,786
7871,software,787
7873,software,787
7875,software,787
7891,marketing,789
7911,software,791
7922,management,792
7924,management,792
7932,marketing,793
7951,data,795
7971,data,797
7991,finance,799
8011,management,801
8021,software,802
8041,software,804
8051,data,805
8071,software,807
8091,marketing,809
8101,marketing,810
8111,software,811
8113,management,811
8131,software,813
8133,software,813
8141,software,814
8161,data,816
8181,marketing,818
8191,data,819
8201,software,820
8221,software,822
8231,software,823
8251,software,825
8253,software,825
8262,software,826
8281,software,828
8301,management,830
8321,management,832
8341,management,834
8361,finance,836
8371,marketing,837
8382,software,838
8401,software,840
8412,management,841
8431,software,843
8451,management,845
8471,software,847
8491,software,849
8511,finance,851
8513,marketing,851
8521,software,852
8532,software,853
8551,management,855
8571,finance,857
