designation,location,job_count
DevOps Engineer,Bangalore,6
EHS Engineer,Bangalore,1
Software Engineer - UI,Bangalore,1
QA Automation Lead,Bangalore,1
Software Engineer,Bangalore,6
SQL Developer,Bangalore,1
Data Engineer,Bangalore,4
Marketing Strategy Analyst,Gurgaon,1
SSE - ServiceNow,Pune,1
Senior Principal Consultant - Data Operations,Bangalore,1
HRBP (Services & Fulfillment),Bangalore,1
Computer Vision Engineer,Pune,1
AEM Developer,Noida,1
Data Engineer - AWS,Pune,1
Data Engineer - GCP,Pune,1
Dot NET Developer,Pune,1
Frontend Developer,Gurgaon,2
Java Full Stack Developer,Bangalore,1
AWS PaaS Developer,Bangalore,1
Data Scintist / Analyst,Bangalore,1
QA Lead,Gurgaon,1
Partnerships Manager - Auto Finance Leasing Auto,Delhi,1
Senior Architect I,Work From Home,1
Data Anlyst,Work From Home,1
Full Stack Developer,Work From Home,2
DevOps Engineer,Noida,1
Senior Cloud Security Engineer,Bangalore,1
Front End Developer,Gurgaon,2
Applied Science Manager,Bangalore,1
Software Developer Engineer - 2,Bangalore,1
Director of Product Management,Pune,1
Manual Tester,Work From Home,1
Senior Engineer,Bangalore,1
Talent Aquisition,Mumbai,1
Software Engineer - P2,Noida,1
Brand Specialist,Ahmedabad,1
Talent Acquisition Specialist - US (Non - IT),Gurgaon,1
Lead QA,Bangalore,1
Node.js Developer,Gurgaon,2
Communication Software Lead,Hyderabad,1
Senior Statistical Programmer,Bangalore,1
Senior Consultant,Chennai,1
Infra Support Lead,Work From Home,1
Presales,Gurgaon,1
Content Strategist,Gurgaon,1
SSE - Microsoft Tech - .NET,Bangalore,1
Dot NET Developer,Bangalore,2
SSE Java Developer,Bangalore,1
Sr. Software Developer Engineer,Bangalore,1
Software Developer Engineer,Bangalore,1
Sr. BI Reporting Engineer,Work From Home,1
Business Analyst,Mumbai,1
Software Developer,Pune,1
Manager - Client Development,Bangalore,2
Client Development Manager,Bangalore,1
Manager - Client Development,Hyderabad,1
Architect,Mumbai,1
Product Manager - II,Bangalore,1
Quality Analyst - Lead,Mumbai,1
Java Engineer,Mumbai,1
Java Developer,Mumbai,1
Node.js Fullstack Developer SS24,Gurgaon,1
AVP / VP,Mumbai,1
Call Centre Executive - Sales,Bangalore,1
Engineering Manager,Work From Home,1
Senior Software Engineer - SAP ABAP Developer,Hyderabad,1
Sr. Project Manager,Hyderabad,1
Business Development Associate,Bangalore,2
Branch Co - Ordinator,Ahmedabad,1
Business Analyst,Gurgaon,1
Software Development Engineer Trainee,Bangalore,2
